id,weight,movieid_id,genres
91,550.5,tt0101414,Animation|Children|Fantasy|Musical|Romance|IMAX
92,0.5,tt0101420,Drama|Horror
93,61.5,tt0101452,Adventure|Comedy|Fantasy|Sci-Fi
94,2,tt0101453,Crime|Drama
95,13.5,tt0101458,Adventure|Drama|Sci-Fi
96,10,tt0101465,Adventure|Drama
97,80.5,tt1014759,Adventure|Fantasy|IMAX
98,9,tt1014762,Documentary
99,8.5,tt1014775,Adventure|Children|Comedy
100,1,tt0101492,Horror|Thriller
101,67,tt0101507,Crime|Drama
102,3,tt0101516,Crime|Drama
103,15.5,tt0101523,Comedy|Romance
104,94.5,tt0101540,Thriller
105,2.5,tt0101545,Comedy|Romance
106,104.5,tt0101587,Comedy|Western
107,2,tt0101590,Drama
108,2,tt1016024,Action|Sci-Fi
109,58,tt0101605,Comedy|Drama|Musical
110,8,tt1016290,Action
111,7,tt0101635,Comedy|Drama
112,39,tt0101640,Drama
113,49,tt0101669,Mystery|Romance|Thriller
114,38.5,tt0101698,Comedy|Drama|Fantasy|Romance
115,80.5,tt0101700,Comedy|Drama|Romance
116,8.5,tt0101701,Comedy
117,4,tt0101726,Comedy
118,18,tt0101745,Comedy|Romance
119,3.5,tt1017451,Drama|Musical
120,4,tt0101746,Drama
121,10.5,tt1017460,Horror|Sci-Fi|Thriller
122,12.5,tt0101748,Drama|Romance
123,30.5,tt0101757,Comedy
124,126,tt0101761,Drama
125,6.5,tt0101764,Action
126,12,tt0101765,Drama|Fantasy|Romance
127,17,tt0101775,Comedy|Fantasy
128,2.5,tt0101786,Comedy
129,15,tt0101787,Drama|Romance
130,24,tt0101811,Drama|Romance
131,12.5,tt0101821,Comedy
132,4,tt0101829,Drama|Thriller
133,1,tt0101831,Action|Sci-Fi|Thriller
134,11.5,tt0101846,Action|Crime|Thriller
135,45.5,tt0101862,Comedy
136,5.5,tt1018765,Comedy|Drama
137,2.5,tt1018785,Adventure|Comedy|Drama|Romance
138,1,tt1018818,Comedy|Drama|Mystery
139,137,tt0101889,Comedy|Drama|Fantasy|Romance
140,1.5,tt0101893,Action|Fantasy|Sci-Fi
141,9,tt0101898,Drama
142,2,tt0101902,Comedy|Drama|Musical
143,8.5,tt0101912,Comedy|Romance
144,11,tt0101917,Horror
145,105,tt0101921,Comedy|Crime|Drama
146,35.5,tt1019452,Comedy|Drama
147,25.5,tt0101969,Crime|Drama
148,2,tt0102002,Comedy|Romance
149,6.5,tt0102004,Action|Comedy
150,19,tt0102005,Action|Crime|Drama
151,5,tt1020072,Drama
152,2,tt0102011,Comedy|Drama|Romance
153,3,tt0102014,Comedy
154,19,tt0102015,Documentary
155,13,tt0102034,Action|Sci-Fi
156,6.5,tt0102035,Comedy
157,4,tt1020530,Horror|Thriller
158,178,tt0102057,Adventure|Comedy|Fantasy
159,47,tt0102059,Action|Comedy|Romance|War
160,3,tt0102065,Comedy|Drama|Romance
161,12,tt0102070,Action|Adventure|Comedy
162,4,tt1020773,Drama
163,5,tt0102083,Comedy
164,2,tt0102095,Action|Comedy
165,8.5,tt0102103,Comedy|Romance
166,108.5,tt0102138,Drama|Mystery|Thriller
167,4,tt0102164,Comedy
168,21.5,tt0102175,Drama|Romance
169,7,tt0102202,Action|Drama
170,1.5,tt0102216,Comedy
171,83.5,tt0102250,Comedy|Romance
172,154,tt1022603,Comedy|Drama|Romance
173,28,tt0102266,Action|Comedy|Crime|Drama|Thriller
174,4.5,tt0102293,Action|Crime|Thriller
175,3,tt0102303,Comedy
176,3.5,tt1023111,Action
177,4,tt1023114,Drama
178,33.5,tt0102316,Drama
179,4,tt0102336,Comedy
180,7.5,tt0102343,Comedy|Romance
181,6.5,tt1023481,Drama|Musical|Romance
182,8,tt1023490,Drama
183,4,tt0102368,Drama
184,21,tt0102370,Documentary|Musical
185,8,tt0102388,Drama|Romance
186,1.5,tt0102395,Comedy|Fantasy|Romance
187,6.5,tt1024215,Action|Animation|Crime|Sci-Fi
188,3,tt1024255,Drama|Romance
189,27.5,tt0102426,Comedy|Drama
190,7.5,tt0102443,Drama|War
191,10.5,tt0102456,Drama|Romance
192,2,tt0102460,Crime|Drama
193,111.5,tt1024648,Drama|Thriller
194,6.5,tt0102465,Comedy|Drama
195,4,tt0102467,Comedy|Drama
196,5,tt0102469,Mystery|Thriller
197,10.5,tt1024715,Comedy|Drama
198,32,tt0102492,Comedy|Drama|Romance
199,20.5,tt0102494,Drama|Romance
200,3,tt0102500,Comedy
201,89,tt0102510,Comedy
202,31,tt0102511,Drama|Fantasy|Mystery|Sci-Fi
203,10.5,tt0102517,Comedy
204,33,tt0102536,Comedy|Drama
205,5,tt0102555,Drama
206,9.5,tt0102558,Adventure|Comedy
207,1.5,tt0102573,Comedy|Drama
208,2.5,tt0102587,Animation|Drama
209,15,tt0102592,Crime|Drama|Film-Noir|Thriller
210,9.5,tt0102598,Comedy|Romance
211,1,tt0102603,Comedy|Crime|Mystery|Romance
212,2.5,tt0102609,Comedy|Drama|Romance
213,52,tt0102685,Action|Crime|Thriller
214,17,tt0102713,Drama|Romance
215,10.5,tt0102719,Comedy
216,6,tt0102728,Horror|Sci-Fi|Thriller
217,6.5,tt0102744,Adventure|Drama|Western
218,10,tt0102757,Drama|Mystery
219,18,tt0102768,Drama
220,9.5,tt1027718,Drama
221,5,tt0102782,Adventure|Romance
222,84.5,tt0102798,Adventure|Drama
223,1,tt0102800,Sci-Fi
224,2,tt0102802,Adventure|Animation|Children|Musical
225,127,tt0102803,Action|Adventure|Sci-Fi
226,3.5,tt0102818,Action|Drama|Thriller
227,4,tt0102820,Crime|Drama
228,3,tt0102849,Comedy
229,81.5,tt1028528,Action|Adventure|Crime|Horror|Thriller
230,7,tt1028532,Drama
231,2.5,tt1028576,Adventure|Drama
232,7,tt0102898,Comedy
233,3,tt0102900,Mystery|Thriller
234,4,tt1029120,Drama|Mystery
235,5,tt1029235,Action|Drama|War
236,1161,tt0102926,Crime|Horror|Thriller
237,1.5,tt0102940,Comedy
238,13,tt0102943,Comedy|Drama
239,12.5,tt0102945,Drama|Thriller
240,8.5,tt0102951,Comedy
241,140.5,tt0102975,Action|Mystery|Sci-Fi
242,3.5,tt0103003,Comedy|Sci-Fi
243,2,tt0103007,Comedy
244,4.5,tt0103030,Comedy|Drama
245,3,tt0103035,Comedy
246,4,tt0103036,Drama
247,35,tt0103060,Action|Children|Fantasy
248,889.5,tt0103064,Action|Sci-Fi
249,142,tt0103074,Adventure|Crime|Drama
250,10,tt0103112,Action|Drama
251,4,tt1031280,Action|Horror|Thriller
252,11,tt0103129,Drama|Romance
253,13,tt0103130,Comedy|Drama|Romance
254,2,tt0103184,Action|Comedy|Crime
255,5.5,tt1031969,Comedy
256,27,tt0010323,Crime|Fantasy|Horror
257,114.5,tt0103241,Comedy
258,3.5,tt0103247,Adventure
259,3.5,tt1032751,Action|Fantasy|Western
260,49,tt1032755,Action|Crime
261,2.5,tt1032815,Comedy|Romance
262,2,tt1032819,Drama
263,12,tt1032846,Drama
264,23.5,tt0103285,Action|Adventure|Drama
265,10.5,tt1032856,Comedy|Drama
266,3,tt1033467,Crime|Documentary
267,44,tt1033575,Comedy|Drama
268,22,tt1033643,Comedy|Romance
269,24,tt1034032,Action|Sci-Fi|Thriller
270,27.5,tt1034303,Drama|Thriller|War
271,7.5,tt1034314,Action|Comedy|Sci-Fi
272,3,tt1034331,Crime|Mystery|Thriller
273,2,tt1034389,Adventure|Drama
274,3,tt0103516,Crime|Drama|Mystery|Romance|Thriller
275,4,tt1035736,Drama
276,2.5,tt0103594,Adventure|Drama
277,12.5,tt0103596,Action|Children|Comedy
278,6,tt0103617,Action
279,694,tt0103639,Adventure|Animation|Children|Comedy|Musical
280,148,tt0103644,Action|Horror|Sci-Fi|Thriller
281,7.5,tt0103671,Drama
282,4.5,tt0103678,Horror
283,4.5,tt0103747,Drama
284,27.5,tt0103759,Crime|Drama
285,16.5,tt0103767,Documentary
286,52.5,tt1037705,Action|Adventure|Drama
287,150,tt0103772,Crime|Mystery|Thriller
288,181.5,tt0103776,Action|Crime
289,1,tt0103783,Animation|Children|Comedy
290,19.5,tt0103786,Children|Comedy|Drama
291,10,tt0103791,Comedy|Romance
292,2,tt0103827,Comedy
293,57,tt0103850,Comedy
294,91.5,tt0103855,Drama|Romance|Thriller
295,42.5,tt0103859,Comedy|Romance
296,8.5,tt1038686,Action|Fantasy|Horror|Thriller
297,40.5,tt0103873,Comedy|Fantasy|Horror
298,100.5,tt0103874,Fantasy|Horror|Romance|Thriller
299,6.5,tt0103882,Documentary
300,8.5,tt0103888,Documentary
301,16.5,tt1038919,Action|Comedy|Romance
302,63,tt0103893,Action|Comedy|Horror
303,32.5,tt1038988,Drama|Horror|Thriller
304,27,tt0103905,Comedy|Crime|Drama|Thriller
305,27.5,tt0103919,Horror|Thriller
306,2.5,tt0103923,Action|Fantasy|Sci-Fi|Thriller|War
307,21.5,tt0103924,Adventure|Comedy
308,7,tt0103939,Drama
309,5.5,tt0103950,Action|Comedy|Romance
310,9,tt0103956,Comedy|Horror|Thriller
311,3.5,tt0103957,Horror
312,1,tt0103959,Comedy|Horror
313,1.5,tt0103961,Comedy|Romance
314,2,tt0103962,Adventure
315,3.5,tt1039647,Comedy|Documentary
316,7,tt1039652,Drama|Thriller
317,1.5,tt0103978,Comedy
318,130,tt0103994,Drama|Fantasy|Romance
319,10,tt0104009,Animation|Comedy|Fantasy
320,144.5,tt0104036,Drama|Romance|Thriller
321,33.5,tt0104040,Comedy|Drama|Romance
322,4,tt0104057,Drama
323,43,tt0104070,Comedy|Fantasy
324,7,tt0104114,Comedy
325,1,tt0104135,Action|Comedy|Crime|Romance
326,4,tt0104139,Comedy|Horror
327,2.5,tt0104181,Drama|Romance
328,56,tt1041829,Comedy|Romance
329,36,tt0104187,Comedy
330,34.5,tt0104231,Adventure|Drama|Romance
331,4,tt0104237,Drama
332,22,tt0104254,Animation|Children|Comedy|Musical
333,216,tt0104257,Crime|Drama|Thriller
334,2.5,tt0104265,Drama|Romance|Thriller
335,77,tt0104291,Drama|Romance|Sci-Fi
336,8,tt0104299,Action|Sci-Fi
337,5.5,tt0104321,Drama|Romance
338,39,tt0104346,Action|Drama
339,55,tt0104348,Drama
340,114.5,tt0104361,Adventure|Animation|Children|Comedy|Sci-Fi
341,28,tt0104389,Drama|Thriller
342,2.5,tt0104409,Horror
343,12.5,tt0104412,Comedy|Drama
344,6,tt0104427,Crime|Drama
345,78,tt0104431,Children|Comedy
346,41,tt0104437,Children|Comedy|Sci-Fi
347,23.5,tt0104438,Comedy|Romance
348,4.5,tt0104452,Comedy|Romance
349,48,tt0104454,Drama
350,23.5,tt0104466,Comedy|Drama
351,12.5,tt0104507,Drama|Romance
352,14.5,tt0104549,Mystery|Thriller
353,34.5,tt0104558,Action|Comedy|Crime|Thriller
354,111.5,tt1045658,Comedy|Drama
355,3.5,tt1045670,Comedy|Drama
356,4,tt0104573,Action|Crime|Drama|Thriller
357,3,tt1045772,Comedy|Drama|Romance
358,19.5,tt1045778,Adventure|Comedy
359,12,tt1046163,Comedy|Romance
360,21,tt1046173,Action|Adventure|Sci-Fi|Thriller
361,5,tt0104647,Action|Comedy|Crime
362,54.5,tt0104652,Adventure|Animation|Comedy|Fantasy|Romance
363,4,tt0104663,Drama
364,9,tt0104670,Comedy
365,36,tt0104684,Action|Crime|Drama|Thriller
366,149.5,tt0104691,Action|Romance|War|Western
367,66.5,tt0104692,Action|Horror|Sci-Fi|Thriller
368,156,tt0104694,Comedy|Drama
369,7,tt0104695,Comedy|Drama
370,135,tt0104714,Action|Comedy|Crime|Drama
371,2.5,tt0104740,Adventure|Animation|Children|Drama|Fantasy
372,4,tt0104743,Action
373,2,tt1047540,Comedy
374,10,tt0104756,Drama
375,21,tt0104779,Drama|Film-Noir|Romance
376,62.5,tt0104797,Drama
377,2,tt0104802,Drama|Musical
378,2,tt0104804,Comedy|Romance
379,8.5,tt0104810,Documentary|War
380,64,tt0104815,Action|Crime|Thriller|Western
381,1,tt0104837,Comedy
382,34.5,tt0104839,Adventure|Romance
383,4,tt0104850,Comedy|Romance|Sci-Fi|Thriller
384,69,tt0104868,Children|Comedy
385,4.5,tt0104897,Comedy|Romance
386,2,tt0104905,Comedy|Sci-Fi
387,5,tt0104926,Comedy|Romance
388,12,tt0104928,Comedy|Drama
389,71,tt0104940,Children|Comedy|Musical
390,3.5,tt1049402,Drama
391,420.5,tt1049413,Adventure|Animation|Children|Drama
392,192.5,tt0104952,Comedy
393,13.5,tt0104990,Children|Musical
394,4.5,tt1050160,Action|Comedy|Fantasy|Horror|Thriller
395,7.5,tt0105017,Comedy
396,4,tt0105032,Drama
397,62.5,tt0105046,Drama
398,10.5,tt0105104,Action|Thriller
399,18,tt0105107,Drama
400,109,tt0105112,Action|Crime|Drama|Thriller
401,7.5,tt0105121,Horror|Mystery|Thriller
402,5.5,tt0105128,Comedy|Horror
403,18,tt0105130,Comedy|Drama
404,150,tt0105151,Comedy|Crime|Drama
405,13,tt0105156,Drama|Thriller
406,4,tt0105159,Drama
407,10,tt0105165,Comedy|Drama|Romance
408,4,tt0105179,Horror
409,2,tt0105187,Crime|Thriller
410,4,tt1051904,Adventure|Comedy|Horror
411,5.5,tt0105211,Drama
412,0.5,tt0105217,Horror|Thriller
413,7.5,tt0105219,Action
414,40,tt0105226,Thriller
415,550.5,tt0105236,Crime|Mystery|Thriller
416,4,tt0105251,Comedy
417,86.5,tt0105265,Drama
418,23,tt0105275,Action|Drama
419,4,tt0105316,Drama
420,5.5,tt0105321,Comedy
421,97,tt0105323,Drama
422,16.5,tt0105327,Drama
423,21,tt1053424,Action|Sci-Fi|Thriller
424,10,tt0105378,Comedy|Drama|Mystery|Thriller
425,15,tt1053810,Comedy
426,1.5,tt0105391,Drama|Romance|Thriller|War
427,9,tt0105399,Action|Comedy
428,3,tt0105402,Action|Adventure|Children|Comedy
429,40.5,tt0105414,Drama|Thriller
430,35,tt0105415,Comedy|Drama|Romance
431,109,tt0105417,Comedy|Crime
432,2,tt0105428,Horror
433,160,tt0105435,Action|Comedy|Crime|Drama|Sci-Fi
434,5,tt0105438,Documentary|Drama
435,21,tt1054485,Action|Animation|Comedy|Romance|Sci-Fi
436,31,tt1054486,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi
437,21,tt1054487,Action|Animation|Comedy|Sci-Fi
438,61,tt1054606,Drama|Fantasy
439,2.5,tt0105466,Comedy
440,19.5,tt0105477,Action|Comedy
441,80.5,tt0105488,Comedy|Romance
442,18,tt1055292,Comedy|Romance
443,3.5,tt1055300,Action|Drama|Thriller
444,1,tt1055366,Comedy|Musical|Romance
445,48.5,tt1055369,Action|Adventure|Sci-Fi|IMAX
446,2.5,tt0105601,Documentary|IMAX
447,5.5,tt0105606,Adventure|Children|Comedy
448,4,tt0105622,Drama
449,47.5,tt0105629,Comedy|Fantasy
450,10.5,tt0105643,Fantasy|Horror
451,2.5,tt1056437,Adventure|Animation|Drama
452,2,tt0105652,Drama
453,37.5,tt0105665,Crime|Drama|Mystery|Thriller
454,3.5,tt0105682,Drama|Romance
455,68.5,tt0105690,Action|Drama|Thriller
456,185,tt0105695,Drama|Western
457,37.5,tt0105698,Action|Sci-Fi
458,2.5,tt0105699,Crime|Thriller
459,3.5,tt0105706,Comedy|Drama
460,27,tt1057500,Drama
461,3,tt0105764,Documentary
462,8,tt0105789,Drama
463,212,tt0105793,Comedy
464,14,tt1058017,Comedy
465,4,tt0105810,Drama
466,67,tt0105812,Comedy|Drama
467,9,tt0105813,Drama|Thriller
468,2.5,tt0105839,Action|Romance
469,4.5,tt0105946,Sci-Fi
470,24.5,tt1059786,Action|Crime|Thriller|IMAX
471,90.5,tt1060277,Action|Mystery|Sci-Fi|Thriller
472,3,tt0106104,Crime|Drama|Mystery
473,13.5,tt1061123,Action|Sci-Fi
474,260.5,tt0106220,Children|Comedy|Fantasy
475,7.5,tt0106223,Adventure|Children|Comedy|Drama
476,52.5,tt0106226,Drama
477,2.5,tt0106233,Adventure|Comedy
478,28.5,tt0106246,Drama
479,2.5,tt0106262,Horror
480,3,tt0106266,Comedy
481,6.5,tt0106273,Drama
482,40.5,tt0106292,Comedy|Thriller
483,25.5,tt0106307,Comedy|Drama|Fantasy|Romance
484,206,tt0106308,Action|Adventure|Comedy|Fantasy|Horror
485,3.5,tt0106315,Action
486,34.5,tt0106332,Drama|Romance
487,4,tt0106336,Sci-Fi
488,21,tt0106339,Drama|Musical
489,14.5,tt0106341,Drama
490,5.5,tt0106356,Drama
491,53.5,tt0106364,Animation|Children
492,25,tt1063669,Drama
493,7.5,tt0106375,Children|Comedy
494,6,tt0106379,Drama
495,66,tt0106387,Comedy|Romance
496,53.5,tt0106400,Comedy
497,4,tt0106402,Drama|Horror
498,7,tt0106408,Comedy|Drama
499,3,tt0106447,Drama|Romance
500,22,tt0106452,Horror|Sci-Fi|Thriller
501,1,tt0106453,Drama|Thriller
502,6,tt0106455,Action|Drama
503,4,tt0106469,Action|Crime|Drama|Thriller
504,30.5,tt0106471,Drama|Mystery|Romance|Thriller
505,8,tt0106473,Drama
506,2.5,tt0106475,Action|Comedy
507,67,tt0106489,Drama
508,9,tt1064932,Comedy
509,14.5,tt0106500,Comedy
510,7.5,tt0106505,Comedy|Drama
511,65,tt1065073,Drama
512,157,tt0106519,Crime|Drama
513,8,tt0106521,Horror|Sci-Fi
514,8.5,tt0106535,Drama
515,5,tt0106544,Action|Comedy|Crime|Thriller
516,3.5,tt0106557,Horror
517,306.5,tt0106582,Action|Adventure|Thriller
518,4.5,tt0106591,Comedy
519,152.5,tt0106598,Comedy|Sci-Fi
520,114,tt0106611,Comedy
521,1.5,tt0106613,Comedy
522,13,tt0106627,Thriller
523,2,tt0106664,Horror|Mystery
524,269.5,tt0106673,Comedy|Romance
525,165,tt0106677,Comedy
526,250.5,tt0106697,Action|Adventure|Sci-Fi
527,14.5,tt0106701,Comedy
528,6,tt1067106,Animation|Children|Drama|Fantasy|IMAX
529,13.5,tt1067583,Drama|Romance
530,1,tt0106761,Action|Adventure|Sci-Fi
531,22.5,tt0106770,Action|Drama
532,4,tt1067733,Comedy|Drama|Romance
533,3,tt1067774,Adventure|Comedy|Romance
534,5.5,tt1068242,Comedy|Drama|Musical
535,1,tt0106827,Children|Comedy
536,4,tt0106833,Drama
537,14,tt0106834,Comedy|Romance
538,60,tt0106856,Action|Drama
539,5.5,tt1068646,Drama
540,123,tt1068680,Comedy
541,36,tt0106873,Comedy
542,2.5,tt0106877,Comedy
543,1,tt0106880,Comedy
544,29,tt0106881,Drama
545,4,tt0106912,Drama|Mystery|Sci-Fi
546,357,tt0106918,Drama|Thriller
547,20.5,tt1069238,Drama
548,4,tt0106926,Drama|Mystery|Romance
549,7,tt0106936,Action|Comedy
550,14,tt0106941,Comedy|Romance
551,2.5,tt0106950,Action|Sci-Fi
552,88.5,tt0106965,Adventure|Children|Drama
553,8,tt0106966,Drama
554,758.5,tt0106977,Thriller
555,4,tt0107002,Drama|Romance
556,14,tt0107004,Drama|Western
557,33,tt0107007,Drama|War
558,1.5,tt0107034,Drama|Thriller
559,564,tt0107048,Comedy|Fantasy|Romance
560,95.5,tt0107050,Comedy
561,5,tt1070753,Animation|Comedy
562,29,tt0107076,Action|Adventure|Crime|Thriller
563,4.5,tt0107079,Drama
564,24,tt0107091,Comedy|Fantasy
565,63.5,tt0107120,Children|Comedy|Fantasy|Horror
566,59,tt0107131,Adventure|Children|Drama
567,2.5,tt1071358,Children|Comedy|Musical|Romance
568,172,tt0107144,Action|Comedy|War
569,2,tt0107148,Drama
570,17,tt0107151,Drama|Romance
571,4.5,tt0107156,Comedy|Drama|Romance
572,3.5,tt1071804,Action|Fantasy|Sci-Fi
573,8,tt1071875,Action|Fantasy|Thriller
574,258.5,tt0107206,Action|Thriller
575,107.5,tt0107207,Drama
576,4,tt0107209,Drama|Fantasy|Mystery|Romance
577,24,tt0107211,Drama|Romance
578,9,tt0107212,Comedy|Drama
579,3.5,tt0107225,Drama
580,1.5,tt0107247,Comedy|Drama
581,35,tt0107282,Drama|Romance
582,9,tt0107286,Action|Crime|Thriller
583,892.5,tt0107290,Action|Adventure|Sci-Fi|Thriller
584,60,tt0107302,Drama|Thriller
585,6,tt0107315,Comedy|Drama
586,7.5,tt1073498,Comedy
587,3.5,tt1073510,Drama
588,155.5,tt0107362,Action|Adventure|Comedy|Fantasy
589,11.5,tt0107387,Comedy|Horror
590,9,tt0107413,Comedy
591,13,tt0107426,Drama
592,9.5,tt0107438,Children|Comedy|Romance
593,1,tt0107447,Comedy|Drama
594,190.5,tt1074638,Action|Adventure|Thriller|IMAX
595,3,tt0107468,Drama|Romance
596,8,tt0107472,Documentary
597,10,tt0107473,Comedy|Drama|Romance
598,31.5,tt0107478,Comedy
599,36,tt0107497,Thriller
600,56,tt0107501,Drama
601,3,tt0107504,Horror|Sci-Fi|Thriller
602,52.5,tt0107507,Comedy|Mystery
603,3,tt1075110,Drama
604,3,tt0107529,Comedy|Drama
605,7,tt1075417,Adventure|Children|Fantasy|Sci-Fi|Thriller
606,44,tt0107554,Action|Crime|Drama
607,2.5,tt0107563,Comedy
608,6,tt0107566,Drama
609,7.5,tt1075747,Action|Drama|Thriller|Western
610,1.5,tt0107612,Action|Children|Comedy
611,5,tt0107613,Comedy|Romance
612,488,tt0107614,Comedy|Drama
613,164,tt0107616,Comedy|Romance
614,4,tt0107617,Drama
615,3,tt0107626,Comedy
616,10.5,tt0107630,Drama
617,22,tt0107653,Drama
618,17.5,tt0107659,Action|Comedy
619,8,tt0107665,Drama|Horror
620,330.5,tt0107688,Animation|Children|Fantasy|Musical
621,49,tt0107692,Action|Adventure|Animation|Fantasy
622,83.5,tt1077258,Action|Horror|Sci-Fi
623,15,tt1077368,Comedy|Horror|IMAX
624,6,tt0107750,Action
625,9,tt0107756,Drama|Fantasy|Romance
626,38,tt0107798,Crime|Drama|Mystery|Romance|Thriller
627,44,tt0107808,Crime|Drama|Thriller
628,238.5,tt0107818,Drama
629,4,tt1078188,Crime|Drama
630,216,tt0107822,Drama|Romance
631,3,tt0107840,Drama
632,8.5,tt0107843,Action|Thriller
633,4,tt1078588,Drama
634,6,tt0107889,Action|Drama
635,31,tt1078912,Action|Comedy|IMAX
636,4.5,tt1078933,Horror
637,10,tt1078940,Comedy|Romance
638,2,tt0107899,Horror|Sci-Fi|Thriller
639,4,tt0107920,Drama
640,4,tt0107927,Action|Crime|Drama|Thriller
641,2.5,tt0107930,Comedy
642,0.5,tt1079372,Action|Adventure|Fantasy
643,86.5,tt0107943,Drama|Romance
644,3.5,tt1079444,Comedy|Fantasy
645,14.5,tt0107952,Adventure|Animation|Children|Fantasy|Musical|Romance
646,29.5,tt0107969,Action|Drama|Mystery
647,216,tt0107977,Comedy
648,50.5,tt0107978,Action|Crime|Drama|Sci-Fi|Thriller
649,9.5,tt0107983,Crime|Thriller
650,10,tt0107985,Comedy|Fantasy
651,14,tt0108000,Drama
652,36.5,tt1080016,Action|Adventure|Animation|Children|Comedy|Romance
653,118.5,tt0108002,Drama
654,82.5,tt0108037,Children|Comedy|Drama
655,929.5,tt0108052,Drama|War
656,3,tt0108059,Crime|Thriller
657,155,tt0108065,Drama
658,78,tt0108071,Children|Drama
659,50.5,tt0108101,Drama|Romance
660,49,tt0108122,Drama
661,26.5,tt0108147,Comedy
662,17.5,tt0108148,Action|Comedy
663,43,tt0108149,Drama
664,368,tt0108160,Comedy|Drama|Romance
665,48,tt0108162,Thriller
666,3,tt0108170,Comedy|Drama
667,6,tt0108171,Action|Drama
668,136,tt0108174,Comedy|Romance|Thriller
669,34.5,tt0108181,Drama|Thriller
670,29.5,tt0108185,Drama|Mystery|Romance
671,39,tt0108186,Comedy|Drama|Romance
672,5,tt0108188,Action|Comedy|Crime|Drama
673,4.5,tt1081935,Comedy|Drama|War
674,8.5,tt0108211,Drama|War
