movieid,title,year,lenght,genres,rate,poster,plot
tt0114095,Party Girl ,1995,,Comedy,,,
tt0114194,Prophecy, The ,1995,,Fantasy|Horror|Mystery,,,
tt0114241,Reckless ,1995,,Comedy|Fantasy,,,
tt0114323,Safe ,1995,,Thriller,,,
tt0114345,Scarlet Letter, The ,1995,,Drama|Romance,,,
tt0114436,Showgirls ,1995,,Drama,,,
tt0114478,Smoke ,1995,,Comedy|Drama,,,
tt0114496,Something to Talk About ,1995,,Comedy|Drama|Romance,,,
tt0114508,Species ,1995,,Horror|Sci-Fi,,,
tt0114558,Strange Days ,1995,,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,,,
tt0058450,Umbrellas of Cherbourg, The ,Parapluies de Cherbourg, Les ,,Drama|Musical|Romance,,,
tt0114663,Three Wishes ,1995,,Drama|Fantasy,,,
tt0114702,Total Eclipse ,1995,,Drama|Romance,,,
tt0114682,To Wong Foo, Thanks for Everything! Julie Newmar ,1995,,Comedy,,,
tt0114781,Under Siege 2: Dark Territory ,1995,,Action,,,
tt0114798,Unstrung Heroes ,1995,,Comedy|Drama,,,
tt0114805,Unzipped ,1995,,Documentary,,,
tt0114887,Walk in the Clouds, A ,1995,,Drama|Romance,,,
tt0114898,Waterworld ,1995,,Action|Adventure|Sci-Fi,,,
tt0114928,White Man's Burden ,1995,,Drama,,,
tt0114938,Wild Bill ,1995,,Western,,,
tt0109340,Browning Version, The ,1994,,Drama,,,
tt0112602,Bushwhacked ,1995,,Adventure|Comedy|Crime|Mystery,,,
tt0111579,Burnt by the Sun ,Utomlyonnye solntsem ,,Drama,,,
tt0110882,Before the Rain ,Pred dozhdot ,,Drama|War,,,
tt0112471,Before Sunrise ,1995,,Drama|Romance,,,
tt0112508,Billy Madison ,1995,,Comedy,,,
tt0112438,Babysitter, The ,1995,,Drama|Thriller,,,
tt0112571,Boys on the Side ,1995,,Comedy|Drama,,,
tt0112757,Cure, The ,1995,,Drama,,,
tt0112643,Castle Freak ,1995,,Horror,,,
tt0112679,Circle of Friends ,1995,,Drama|Romance,,,
tt0109445,Clerks ,1994,,Comedy,,,
tt0112883,Don Juan DeMarco ,1995,,Comedy|Drama|Romance,,,
tt0109635,Disclosure ,1994,,Drama|Thriller,,,
tt0109676,Drop Zone ,1994,,Action|Thriller,,,
tt0112854,Destiny Turns on the Radio ,1995,,Comedy,,,
tt0109579,Death and the Maiden ,1994,,Drama|Thriller,,,
tt0109642,Dolores Claiborne ,1995,,Drama|Thriller,,,
tt0109686,Dumb & Dumber ,Dumb and Dumber ,,Adventure|Comedy,,,
tt0111797,Eat Drink Man Woman ,Yin shi nan nu ,,Comedy|Drama|Romance,,,
tt0109759,Exotica ,1994,,Drama,,,
tt0109758,Exit to Eden ,1994,,Comedy,,,
tt0109707,Ed Wood ,1994,,Comedy|Drama,,,
tt0113117,French Kiss ,1995,,Action|Comedy|Romance,,,
tt0113097,Forget Paris ,1995,,Comedy|Romance,,,
tt0113028,Far From Home: The Adventures of Yellow Dog ,1995,,Adventure|Children,,,
tt0113198,Goofy Movie, A ,1995,,Animation|Children|Comedy|Romance,,,
tt0113303,Hideaway ,1995,,Thriller,,,
tt0113089,Fluke ,1995,,Children|Drama,,,
tt0109771,Farinelli: il castrato ,1994,,Drama|Musical,,,
tt0113199,Gordy ,1995,,Children|Comedy|Fantasy,,,
tt0110057,Hoop Dreams ,1994,,Documentary,,,
tt0110005,Heavenly Creatures ,1994,,Crime|Drama,,,
tt0110066,Houseguest ,1994,,Comedy,,,
tt0110116,Immortal Beloved ,1994,,Drama|Romance,,,
tt0110006,Heavyweights ,Heavy Weights ,,Children|Comedy,,,
tt0113360,Hunted, The ,1995,,Action,,,
tt0110099,I.Q. ,1994,,Comedy|Romance,,,
tt0110148,Interview with the Vampire: The Vampire Chronicles ,1994,,Drama|Horror,,,
tt0113463,Jefferson in Paris ,1995,,Drama,,,
tt0110189,Jerky Boys, The ,1995,,Comedy,,,
tt0110216,Junior ,1994,,Comedy|Sci-Fi,,,
tt0113501,Just Cause ,1995,,Mystery|Thriller,,,
tt0113538,Kid in King Arthur's Court, A ,1995,,Adventure|Children|Comedy|Fantasy|Romance,,,
tt0113552,Kiss of Death ,1995,,Crime|Drama|Thriller,,,
tt0076759,Star Wars: Episode IV - A New Hope ,1977,,Action|Adventure|Sci-Fi,,,
tt0110367,Little Women ,1994,,Drama,,,
tt0113670,Little Princess, A ,1995,,Children|Drama,,,
tt0110296,Ladybird Ladybird ,1994,,Drama,,,
tt0103994,Like Water for Chocolate ,Como agua para chocolate ,,Drama|Fantasy|Romance,,,
tt0110322,Legends of the Fall ,1994,,Drama|Romance|War|Western,,,
tt0110443,Major Payne ,1995,,Comedy,,,
tt0107566,My Crazy Life ,Mi vida loca ,,Drama,,,
tt0110391,Love Affair ,1994,,Drama|Romance,,,
tt0113691,Losing Isaiah ,1995,,Drama,,,
tt0110428,Madness of King George, The ,1994,,Comedy|Drama,,,
tt0109836,Mary Shelley's Frankenstein ,Frankenstein ,,Drama|Horror|Sci-Fi,,,
tt0113755,Man of the House ,1995,,Comedy,,,
tt0110538,Mixed Nuts ,1994,,Comedy,,,
tt0110516,Milk Money ,1994,,Comedy|Romance,,,
tt0110527,Miracle on 34th Street ,1994,,Drama,,,
tt0113808,Miami Rhapsody ,1995,,Comedy,,,
tt0113896,My Family ,1995,,Drama,,,
tt0113870,Murder in the First ,1995,,Drama|Thriller,,,
tt0110684,Nobody's Fool ,1994,,Comedy|Drama|Romance,,,
tt0110638,Nell ,1994,,Drama,,,
tt0113967,New Jersey Drive ,1995,,Crime|Drama,,,
tt0117169,New York Cop ,Nyû Yôku no koppu ,,Action|Crime,,,
tt0106402,Beyond Bedlam ,1993,,Drama|Horror,,,
tt0110671,Nina Takes a Lover ,1994,,Comedy|Romance,,,
tt0110632,Natural Born Killers ,1994,,Action|Crime|Thriller,,,
tt0110737,Only You ,1994,,Comedy|Romance,,,
tt0110729,Once Were Warriors ,1994,,Crime|Drama,,,
tt0114151,Poison Ivy II ,1996,,Drama|Thriller,,,
tt0114069,Outbreak ,1995,,Action|Drama|Sci-Fi|Thriller,,,
tt0110413,Léon: The Professional ,a.k.a. The Professional ,,Action|Crime|Drama|Thriller,,,
tt0114113,Perez Family, The ,1995,,Comedy|Romance,,,
tt0114210,Pyromaniac's Love Story, A ,1995,,Comedy|Romance,,,
tt0110912,Pulp Fiction ,1994,,Comedy|Crime|Drama|Thriller,,,
tt0105652,Pushing Hands ,Tui shou ,,Drama,,,
tt0110889,Priest ,1994,,Drama,,,
tt0110932,Quiz Show ,1994,,Drama,,,
tt0114129,Picture Bride ,Bijo photo ,,Drama|Romance,,,
tt0110963,Queen Margot ,Reine Margot, La ,,Drama|Romance,,,
tt0114214,Quick and the Dead, The ,1995,,Action|Thriller|Western,,,
tt0114296,Roommates ,1995,,Comedy|Drama,,,
tt0110907,Ready to Wear ,Pret-A-Porter ,,Comedy,,,
tt0111495,Three Colors: Red ,Trois couleurs: Rouge ,,Drama,,,
tt0108394,Three Colors: Blue ,Trois couleurs: Bleu ,,Drama,,,
tt0111507,Three Colors: White ,Trzy kolory: Bialy ,,Comedy|Drama,,,
tt0114268,Rent-a-Kid ,1995,,Comedy,,,
tt0110965,Relative Fear ,1994,,Horror|Thriller,,,
tt0114571,Stuart Saves His Family ,1995,,Comedy,,,
tt0111333,Swan Princess, The ,1994,,Animation|Children,,,
tt0111112,Secret of Roan Inish, The ,1994,,Children|Drama|Fantasy|Mystery,,,
tt0111255,Specialist, The ,1994,,Action|Drama|Thriller,,,
tt0111282,Stargate ,1994,,Action|Adventure|Sci-Fi,,,
tt0111070,Santa Clause, The ,1994,,Comedy|Drama|Fantasy,,,
tt0111161,Shawshank Redemption, The ,1994,,Crime|Drama,,,
tt0111149,Shallow Grave ,1994,,Comedy|Drama|Thriller,,,
tt0108260,Suture ,1993,,Film-Noir|Thriller,,,
tt0106966,Strawberry and Chocolate ,Fresa y chocolate ,,Drama,,,
tt0114594,Swimming with Sharks ,1995,,Comedy|Drama,,,
tt0111309,Sum of Us, The ,1994,,Comedy|Drama,,,
tt0113936,National Lampoon's Senior Trip ,1995,,Comedy,,,
tt0110081,To Live ,Huozhe ,,Drama,,,
tt0114614,Tank Girl ,1995,,Action|Comedy|Sci-Fi,,,
tt0114608,Tales from the Crypt Presents: Demon Knight ,1995,,Horror|Thriller,,,
tt0111280,Star Trek: Generations ,1994,,Adventure|Drama|Sci-Fi,,,
tt0114609,Tales from the Hood ,1995,,Action|Crime|Horror,,,
tt0111454,Tom & Viv ,1994,,Drama,,,
tt0114852,Village of the Damned ,1995,,Horror|Sci-Fi,,,
tt0114694,Tommy Boy ,1995,,Comedy,,,
tt0111590,Vanya on 42nd Street ,1994,,Drama,,,
tt0114788,Underneath ,1995,,Mystery|Thriller,,,
tt0114888,Walking Dead, The ,1995,,Drama|War,,,
tt0108550,What's Eating Gilbert Grape ,1993,,Drama,,,
tt0114857,Virtuosity ,1995,,Action|Sci-Fi|Thriller,,,
tt0114924,While You Were Sleeping ,1995,,Comedy|Romance,,,
tt0111667,War, The ,1994,,Adventure|Drama|War,,,
tt0109655,Double Happiness ,1994,,Drama,,,
tt0110598,Muriel's Wedding ,1994,,Comedy,,,
tt0112435,Baby-Sitters Club, The ,1995,,Children,,,
tt0109040,Ace Ventura: Pet Detective ,1994,,Comedy,,,
tt0109045,Adventures of Priscilla, Queen of the Desert, The ,1994,,Comedy|Drama,,,
tt0106339,Backbeat ,1993,,Drama|Musical,,,
tt0104779,Bitter Moon ,1992,,Drama|Film-Noir|Romance,,,
tt0109348,Bullets Over Broadway ,1994,,Comedy,,,
tt0109444,Clear and Present Danger ,1994,,Action|Crime|Drama|Thriller,,,
tt0109446,Client, The ,1994,,Drama|Mystery|Thriller,,,
tt0109484,Corrina, Corrina ,1994,,Comedy|Drama|Romance,,,
tt0109504,Crooklyn ,1994,,Comedy|Drama,,,
tt0109506,Crow, The ,1994,,Action|Crime|Fantasy|Thriller,,,
tt0109450,Cobb ,1994,,Drama,,,
tt0109813,Flintstones, The ,1994,,Children|Comedy|Fantasy,,,
tt0109830,Forrest Gump ,1994,,Comedy|Drama|Romance|War,,,
tt0109831,Four Weddings and a Funeral ,1994,,Comedy|Romance,,,
tt0113305,Higher Learning ,1995,,Drama,,,
tt0110091,I Like It Like That ,1994,,Comedy|Drama|Romance,,,
tt0110093,I Love Trouble ,1994,,Action|Comedy,,,
tt0110167,It Could Happen to You ,1994,,Comedy|Drama|Romance,,,
tt0110213,Jungle Book, The ,1994,,Adventure|Children|Romance,,,
tt0107472,Wonderful, Horrible Life of Leni Riefenstahl, The ,Macht der Bilder: Leni Riefenstahl, Die ,,Documentary,,,
tt0110357,Lion King, The ,1994,,Adventure|Animation|Children|Drama|Musical|IMAX,,,
tt0107426,Little Buddha ,1993,,Drama,,,
tt0111686,Wes Craven's New Nightmare ,Nightmare on Elm Street Part 7: Freddy's Finale, A ,,Drama|Horror|Mystery|Thriller,,,
tt0110475,Mask, The ,1994,,Action|Comedy|Crime|Fantasy,,,
tt0110478,Maverick ,1994,,Adventure|Comedy|Western,,,
tt0110588,Mrs. Parker and the Vicious Circle ,1994,,Drama,,,
tt0110622,Naked Gun 33 1/3: The Final Insult ,1994,,Action|Comedy,,,
tt0110771,Paper, The ,1994,,Comedy|Drama,,,
tt0110950,Reality Bites ,1994,,Comedy|Drama|Romance,,,
tt0105226,Red Rock West ,1992,,Thriller,,,
tt0110989,Richie Rich ,1994,,Children|Comedy,,,
tt0110997,River Wild, The ,1994,,Action|Thriller,,,
tt0111257,Speed ,1994,,Action|Romance|Thriller,,,
tt0111256,Speechless ,1994,,Comedy|Romance,,,
tt0111438,Timecop ,1994,,Action|Sci-Fi|Thriller,,,
tt0111503,True Lies ,1994,,Action|Adventure|Comedy|Romance|Thriller,,,
tt0111693,When a Man Loves a Woman ,1994,,Drama|Romance,,,
tt0111742,Wolf ,1994,,Drama|Horror|Romance|Thriller,,,
tt0111756,Wyatt Earp ,1994,,Western,,,
tt0112443,Bad Company ,1995,,Action|Crime|Drama,,,
tt0110455,Man of No Importance, A ,1994,,Drama,,,
tt0111048,S.F.W. ,1994,,Drama,,,
tt0110399,Low Down Dirty Shame, A ,1994,,Action|Comedy,,,
tt0112570,Boys Life ,1995,,Drama,,,
tt0109454,Colonel Chabert, Le ,1994,,Drama|Romance|War,,,
tt0059170,Faster Pussycat! Kill! Kill! ,0,,Action|Crime|Drama,,,
tt0110186,Jason's Lyric ,1994,,Crime|Drama,,,
tt0111301,Street Fighter ,1994,,Action|Adventure|Fantasy,,,
tt0110027,Highlander III: The Sorcerer ,a.k.a. Highlander: The Final Dimension ,,Action|Fantasy,,,
tt0109785,Federal Hill ,1994,,Drama,,,
tt0113409,In the Mouth of Madness ,1995,,Horror|Thriller,,,
tt0109021,8 Seconds ,1994,,Drama,,,
tt0109035,Above the Rim ,1994,,Crime|Drama,,,
tt0106220,Addams Family Values ,1993,,Children|Comedy|Fantasy,,,
tt0106226,Age of Innocence, The ,1993,,Drama,,,
tt0109068,Airheads ,1994,,Comedy,,,
tt0109067,Air Up There, The ,1994,,Comedy,,,
tt0106292,Another Stakeout ,1993,,Comedy|Thriller,,,
tt0109198,Bad Girls ,1994,,Western,,,
tt0109219,Barcelona ,1994,,Comedy|Romance,,,
tt0106379,Being Human ,1993,,Drama,,,
tt0106400,Beverly Hillbillies, The ,1993,,Comedy,,,
tt0109254,Beverly Hills Cop III ,1994,,Action|Comedy|Crime|Thriller,,,
tt0109279,Black Beauty ,1994,,Adventure|Children|Drama,,,
tt0109297,Blink ,1994,,Thriller,,,
tt0109303,Blown Away ,1994,,Action|Thriller,,,
tt0109305,Blue Chips ,1994,,Drama,,,
tt0109306,Blue Sky ,1994,,Drama|Romance,,,
tt0106452,Body Snatchers ,1993,,Horror|Sci-Fi|Thriller,,,
tt0106471,Boxing Helena ,1993,,Drama|Mystery|Romance|Thriller,,,
tt0106489,Bronx Tale, A ,1993,,Drama,,,
tt0109361,Cabin Boy ,1994,,Comedy,,,
tt0106505,Calendar Girl ,1993,,Comedy|Drama,,,
tt0106519,Carlito's Way ,1993,,Crime|Drama,,,
tt0109439,City Slickers II: The Legend of Curly's Gold ,1994,,Adventure|Comedy|Western,,,
tt0109443,Clean Slate ,1994,,Comedy,,,
tt0106582,Cliffhanger ,1993,,Action|Adventure|Thriller,,,
tt0106598,Coneheads ,1993,,Comedy|Sci-Fi,,,
tt0109456,Color of Night ,1994,,Drama|Thriller,,,
tt0109480,Cops and Robbersons ,1994,,Comedy,,,
tt0109493,Cowboy Way, The ,1994,,Action|Comedy|Drama,,,
tt0106673,Dave ,1993,,Comedy|Romance,,,
tt0106677,Dazed and Confused ,1993,,Comedy,,,
tt0106697,Demolition Man ,1993,,Action|Adventure|Sci-Fi,,,
tt0106834,Even Cowgirls Get the Blues ,1993,,Comedy|Romance,,,
tt0106873,Fatal Instinct ,1993,,Comedy,,,
tt0106332,Farewell My Concubine ,Ba wang bie ji ,,Drama|Romance,,,
tt0106881,Fearless ,1993,,Drama,,,
tt0106880,Fear of a Black Hat ,1994,,Comedy,,,
tt0111732,With Honors ,1994,,Comedy|Drama,,,
tt0106926,Flesh and Bone ,1993,,Drama|Mystery|Romance,,,
tt0111712,Widows' Peak ,1994,,Drama,,,
tt0106941,For Love or Money ,1993,,Comedy|Romance,,,
tt0106918,Firm, The ,1993,,Drama|Thriller,,,
tt0106965,Free Willy ,1993,,Adventure|Children|Drama,,,
tt0109842,Fresh ,1994,,Crime|Drama|Thriller,,,
tt0106977,Fugitive, The ,1993,,Thriller,,,
tt0107004,Geronimo: An American Legend ,1993,,Drama|Western,,,
tt0109890,Getaway, The ,1994,,Action|Adventure|Crime|Drama|Romance|Thriller,,,
tt0109891,Getting Even with Dad ,1994,,Comedy,,,
tt0109913,Go Fish ,1994,,Drama|Romance,,,
tt0107076,Hard Target ,1993,,Action|Adventure|Crime|Thriller,,,
tt0107144,Hot Shots! Part Deux ,1993,,Action|Comedy|War,,,
tt0113674,Live Nude Girls ,1995,,Comedy,,,
tt0112966,Englishman Who Went Up a Hill But Came Down a Mountain, The ,1995,,Comedy|Romance,,,
tt0107151,House of the Spirits, The ,1993,,Drama|Romance,,,
tt0110064,House Party 3 ,1994,,Comedy,,,
tt0110074,Hudsucker Proxy, The ,1994,,Comedy,,,
tt0110097,I'll Do Anything ,1994,,Comedy|Drama,,,
tt0110123,In the Army Now ,1994,,Comedy|War,,,
tt0107206,In the Line of Fire ,1993,,Action|Thriller,,,
tt0107207,In the Name of the Father ,1993,,Drama,,,
tt0110137,Inkwell, The ,1994,,Comedy|Drama,,,
tt0108551,What's Love Got to Do with It? ,1993,,Drama|Musical,,,
tt0110197,Jimmy Hollywood ,1994,,Comedy|Crime|Drama,,,
tt0107286,Judgment Night ,1993,,Action|Crime|Thriller,,,
tt0107290,Jurassic Park ,1993,,Action|Adventure|Sci-Fi|Thriller,,,
tt0107302,Kalifornia ,1993,,Drama|Thriller,,,
tt0110265,Killing Zoe ,1994,,Crime|Drama|Thriller,,,
tt0110305,Lassie ,1994,,Adventure|Children,,,
tt0107362,Last Action Hero ,1993,,Action|Adventure|Comedy|Fantasy,,,
tt0107413,Life with Mikey ,1993,,Comedy,,,
tt0110353,Lightning Jack ,1994,,Comedy|Western,,,
