id,weight,movieid_id
413,5,tt0086333
414,4.5,tt0086361
415,39,tt0086373
416,17,tt0086423
417,83.5,tt0086425
418,13,tt0864835
419,9,tt0086491
420,29.5,tt0086541
421,11.5,tt0865556
422,6,tt0086605
423,30.5,tt0086617
424,4,tt0086619
425,7,tt0866437
426,11.5,tt0866439
427,4,tt0086723
428,74.5,tt0086856
429,7,tt0086859
430,5,tt0086873
431,4,tt0086907
432,14.5,tt0086927
433,1,tt0086946
434,156.5,tt0086960
435,17.5,tt0086969
436,25.5,tt0086973
437,76,tt0086979
438,2.5,tt0086984
439,9,tt0086993
440,6,tt0086998
441,5,tt0086999
442,21,tt0087003
443,4,tt0870090
444,35.5,tt0870111
445,4,tt0870211
446,4.5,tt0087042
447,27,tt0087050
448,3,tt0087062
449,2,tt0087075
450,25,tt0087078
451,6.5,tt0087089
452,34.5,tt0871426
453,4,tt0871427
454,16,tt0087175
455,4,tt0087188
456,4.5,tt0087225
457,16.5,tt0087231
458,20,tt0087265
459,51,tt0087277
460,4,tt0087280
461,15.5,tt0087298
462,453,tt0087332
463,3,tt0087344
464,3,tt0873886
465,2,tt0087425
466,393,tt0087469
467,3,tt0874957
468,20,tt0087507
469,4,tt0875113
470,92,tt0087544
471,112.5,tt0087553
472,7.5,tt0087578
473,3.5,tt0087635
474,5,tt0087650
475,44,tt0876563
476,12.5,tt0087700
477,5,tt0877057
478,12.5,tt0087727
479,15.5,tt0087747
480,50,tt0087755
481,87.5,tt0087781
482,81,tt0087800
483,52,tt0087803
484,4,tt0087810
485,65,tt0087843
486,3.5,tt0878674
487,114,tt0878804
488,14,tt0087884
489,8,tt0087892
490,3.5,tt0087909
491,17,tt0087921
492,66.5,tt0087928
493,7,tt0087932
494,13.5,tt0087957
495,7,tt0087980
496,48,tt0087985
497,71,tt0087995
498,37.5,tt0088000
499,14,tt0088007
500,10.5,tt0088024
501,3.5,tt0880502
502,3,tt0880578
503,3.5,tt0088117
504,4.5,tt0881200
505,176.5,tt0088128
506,159,tt0088161
507,137,tt0088170
508,41,tt0088172
509,23.5,tt0088184
510,20,tt0088206
511,510.5,tt0088247
512,4,tt0088263
513,3,tt0088272
514,9,tt0088275
515,3.5,tt0882977
516,4,tt0882997
517,154,tt0088323
518,48,tt0884328
519,4,tt0088461
520,19,tt0884732
521,12,tt0088650
522,4.5,tt0886539
523,26.5,tt0088680
524,7,tt0088707
525,5,tt0088708
526,13.5,tt0088727
527,690.5,tt0088763
528,136,tt0887883
529,138,tt0887912
530,30,tt0088814
531,246.5,tt0088846
532,427,tt0088847
533,4,tt0888817
534,3,tt0088885
535,14.5,tt0088889
536,61,tt0088930
537,140.5,tt0088933
538,47,tt0088939
539,16,tt0889573
540,36.5,tt0889583
541,3.5,tt0889588
542,2,tt0088979
543,29,tt0088993
544,3,tt0089003
545,4.5,tt0089015
546,64,tt0089017
547,3,tt0089087
548,16,tt0089092
549,6,tt0089110
550,7,tt0089114
551,18,tt0089126
552,8,tt0891527
553,6,tt0089153
554,1,tt0089167
555,5,tt0089173
556,43,tt0089175
557,10,tt0089208
558,203.5,tt0089218
559,2.5,tt0089222
560,8.5,tt0892318
561,4,tt0089276
562,209,tt0892769
563,25,tt0892791
564,4,tt0892899
565,2,tt0089308
566,25,tt0089360
567,59,tt0089370
568,8.5,tt0089374
569,11,tt0089393
570,2.5,tt0089421
571,15.5,tt0089424
572,8,tt0089461
573,40,tt0089469
574,12.5,tt0089489
575,78.5,tt0089530
576,1,tt0089538
577,24,tt0089560
578,5,tt0089604
579,37.5,tt0089606
580,2,tt0089622
581,11.5,tt0089652
582,39.5,tt0089670
583,23.5,tt0089686
584,9,tt0089730
585,0.5,tt0897361
586,5,tt0897387
587,30.5,tt0089767
588,73.5,tt0089791
589,5.5,tt0089798
590,10,tt0089826
591,35,tt0898367
592,1.5,tt0089839
593,2,tt0089847
594,48.5,tt0089853
595,8.5,tt0089869
596,66.5,tt0089881
597,34.5,tt0089885
598,73.5,tt0089886
599,7,tt0089901
600,15,tt0089907
601,18,tt0089908
602,78.5,tt0089927
603,26,tt0089941
604,5,tt0089960
605,3,tt0089981
606,8,tt0090021
607,16,tt0090022
608,4,tt0090037
609,5.5,tt0090056
610,51.5,tt0090060
611,7,tt0090095
612,10,tt0090098
613,15,tt0090103
614,3,tt0090110
615,22,tt0090142
616,14,tt0901476
617,5,tt0901481
618,19,tt0901487
619,4.5,tt0901507
620,2.5,tt0090180
621,3,tt0090182
622,17,tt0090190
623,8.5,tt0090203
624,4.5,tt0090206
625,8,tt0090219
626,5.5,tt0902272
627,5,tt0902290
628,2.5,tt0090248
629,67.5,tt0090264
630,22.5,tt0090274
631,68.5,tt0090305
632,3,tt0903135
633,3,tt0090319
634,146,tt0090329
635,0.5,tt0090334
636,2.5,tt0090350
637,37,tt0090357
638,152.5,tt0903624
639,13,tt0903657
640,6,tt0090366
641,5,tt0090368
642,3,tt0904049
643,14,tt0905372
644,181,tt0090555
645,3,tt0090556
646,7,tt0090557
647,11,tt0090567
648,13.5,tt0090570
649,27,tt0090583
650,499.5,tt0090605
651,5,tt0906325
652,57,tt0090633
653,6,tt0090655
654,22,tt0090660
655,10,tt0906665
656,10,tt0090670
657,46.5,tt0090685
658,1,tt0090693
659,108,tt0090728
660,6,tt0090729
661,5,tt0090738
662,181.5,tt0090756
663,35.5,tt0907657
664,6.5,tt0090768
665,18,tt0090774
666,3,tt0090799
667,46,tt0090830
668,2,tt0090837
669,8,tt0090848
670,3,tt0090849
671,4,tt0090852
672,2,tt0090856
673,7,tt0090859
674,45.5,tt0090863
675,4,tt0090886
676,9,tt0090887
677,9,tt0090888
678,4.5,tt0090917
679,2,tt0090927
680,15,tt0090966
681,44.5,tt0090967
682,4,tt0090985
683,7.5,tt0091024
684,418.5,tt0091042
685,10,tt0091055
686,18,tt0910554
687,77,tt0091059
688,145.5,tt0091064
689,13,tt0091080
690,4.5,tt0910812
691,4,tt0091083
692,3.5,tt0910847
693,5.5,tt0910873
694,2,tt0910885
695,1.5,tt0910905
696,5,tt0091093
697,114,tt0910936
698,422,tt0910970
699,43.5,tt0091129
700,4,tt0091142
701,28.5,tt0091149
702,28.5,tt0091159
703,49,tt0091167
704,7,tt0091178
705,45,tt0091187
706,1,tt0091188
707,179,tt0091203
708,14.5,tt0091209
709,81.5,tt0091217
710,27.5,tt0091223
711,34.5,tt0091225
712,10,tt0091251
713,6.5,tt0912583
714,4.5,tt0912592
715,4,tt0912593
716,4.5,tt0912599
717,16,tt0091278
718,45,tt0091288
719,37.5,tt0091306
720,80.5,tt0091326
721,7.5,tt0091341
722,1,tt0091343
723,2,tt0091344
724,4.5,tt0913445
725,3.5,tt0091364
726,160.5,tt0091369
727,5,tt0091374
728,3.5,tt0913951
729,10.5,tt0091396
730,2,tt0091400
731,130,tt0091419
732,18.5,tt0091431
733,10,tt0091445
734,7.5,tt0091455
735,9,tt0091472
736,23.5,tt0091474
737,20.5,tt0914798
738,32.5,tt0091480
739,3,tt0914863
740,4,tt0091499
741,31.5,tt0091530
742,24.5,tt0091538
743,61.5,tt0091541
744,8,tt0091554
745,32.5,tt0091557
746,67.5,tt0091605
747,3,tt0091613
748,9.5,tt0091630
749,27,tt0091635
750,4,tt0091637
751,5,tt0091651
752,16.5,tt0091653
753,12.5,tt0091670
754,18,tt0091680
755,4,tt0091699
756,22.5,tt0091738
757,251,tt0091763
758,23,tt0091777
759,10,tt0091778
760,107,tt0091790
761,5,tt0091799
762,10.5,tt0091814
763,10,tt0091828
764,3.5,tt0091829
765,4,tt0091830
766,5,tt0091836
767,1.5,tt0918511
768,3.5,tt0091860
769,63,tt0091867
770,28.5,tt0091875
771,46.5,tt0091877
772,4.5,tt0091886
773,23.5,tt0918927
774,18.5,tt0918940
775,2,tt0091934
776,20,tt0091939
777,5,tt0091942
778,65.5,tt0091949
779,27.5,tt0091954
780,4,tt0091983
781,5,tt0091990
782,20.5,tt0091991
783,13,tt0091993
784,364.5,tt0092005
785,149.5,tt0092007
786,2.5,tt0092035
787,3,tt0092046
788,12,tt0092048
789,97.5,tt0092067
790,1,tt0092068
791,6,tt0092076
792,81.5,tt0092086
793,274,tt0092099
794,9,tt0092105
795,23.5,tt0092106
796,5,tt0092117
797,3,tt0092173
798,5.5,tt0092214
799,5,tt0092216
800,5,tt0092225
801,2.5,tt0092240
802,11.5,tt0092263
803,4,tt0092272
804,5,tt0092337
805,47,tt0923752
806,11.5,tt0923811
807,2,tt0924129
808,59.5,tt0092493
809,23,tt0092494
810,7.5,tt0092501
811,66.5,tt0092513
812,3.5,tt0092532
813,11,tt0092534
814,3,tt0092537
815,4,tt0092545
816,8.5,tt0092546
817,24,tt0092563
818,9.5,tt0092571
819,4,tt0092585
820,20.5,tt0092593
821,22,tt0092603
822,6.5,tt0092605
823,3.5,tt0926063
824,5.5,tt0092608
825,187.5,tt0926084
826,18,tt0092610
827,1.5,tt0926129
828,7,tt0092618
829,11,tt0092632
830,9,tt0092638
831,4,tt0092641
832,54.5,tt0092644
833,17.5,tt0092654
834,16.5,tt0092666
835,26.5,tt0092675
836,2,tt0092690
837,28.5,tt0092695
838,96,tt0092699
839,5.5,tt0092710
840,1,tt0092717
841,13,tt0092718
842,4,tt0092745
843,4.5,tt0092746
844,28,tt0927619
845,1.5,tt0092783
846,12,tt0092796
847,4,tt0092834
848,1,tt0092850
849,1,tt0092857
850,141.5,tt0092890
851,2.5,tt0092906
852,10,tt0092925
853,4,tt0092929
854,18.5,tt0929425
855,21,tt0092948
856,2.5,tt0929629
857,10.5,tt0929632
858,39.5,tt0092965
859,7,tt0092974
860,137.5,tt0092991
861,111.5,tt0093010
862,1,tt0093011
863,18,tt0093036
864,3,tt0093044
865,4,tt0093051
866,418,tt0093058
867,2,tt0093066
868,3,tt0093073
869,3,tt0093075
870,1.5,tt0093091
871,6,tt0093093
872,163.5,tt0093105
873,2,tt0093137
874,0.5,tt0093146
875,28,tt0093148
876,2,tt0093171
877,2.5,tt0093175
878,50.5,tt0093177
879,14,tt0093185
880,2,tt0093186
881,50.5,tt0093191
882,5,tt0093200
883,5,tt0093206
884,7.5,tt0093207
885,13,tt0093209
886,7,tt0093220
887,30.5,tt0093223
888,37.5,tt0093260
889,4,tt0093267
890,2,tt0093278
891,5,tt0093300
892,19.5,tt0093378
893,96,tt0093389
894,1.5,tt0093405
895,14,tt0093407
896,275.5,tt0093409
897,4,tt0093412
898,5,tt0093418
899,39.5,tt0093428
900,96.5,tt0093437
901,1,tt0093467
902,4,tt0934706
903,5.5,tt0093476
904,5.5,tt0093477
905,17,tt0093488
906,21,tt0093493
907,20.5,tt0093507
908,3.5,tt0935075
909,25,tt0093509
910,8,tt0093512
911,5,tt0093516
912,5,tt0093560
913,96,tt0093565
914,1.5,tt0093582
915,2,tt0093589
916,9,tt0093596
917,34.5,tt0093605
918,35,tt0093629
919,3,tt0093638
920,33.5,tt0093640
921,152,tt0936501
922,9,tt0093677
923,22.5,tt0093690
924,4.5,tt0093692
925,18,tt0093693
926,7.5,tt0093713
927,3,tt0093744
928,104,tt0093748
929,15,tt0093756
930,218.5,tt0093773
931,4.5,tt0093777
932,601,tt0093779
933,6.5,tt0093780
934,5.5,tt0093793
935,22,tt0093818
936,2,tt0093820
937,231.5,tt0093822
938,11.5,tt0938283
939,3,tt0938330
940,12.5,tt0093857
941,236,tt0093870
942,4,tt0093871
943,36,tt0093886
944,109.5,tt0093894
945,12.5,tt0093936
946,3.5,tt0093940
947,8.5,tt0093978
948,5,tt0093996
949,33.5,tt0094006
950,19,tt0094008
951,205.5,tt0094012
952,24,tt0094025
953,31.5,tt0094027
954,2.5,tt0094035
955,9.5,tt0094072
956,27,tt0094074
957,1,tt0094077
958,53.5,tt0094137
959,4,tt0094138
960,32,tt0094142
961,15,tt0094155
962,256,tt0094226
963,4,tt0942384
964,115.5,tt0942385
965,75,tt0094291
966,2,tt0094318
967,5,tt0094321
968,27.5,tt0094332
969,27,tt0094336
970,4,tt0094347
971,8,tt0094357
972,44.5,tt0944835
973,122.5,tt0945513
974,4,tt0945571
975,3,tt0094593
976,2,tt0094594
977,5,tt0094602
978,18,tt0094606
979,18.5,tt0094608
980,5,tt0094612
981,146,tt0094625
982,40.5,tt0094631
983,4.5,tt0094663
984,2.5,tt0094673
985,6,tt0094675
986,4.5,tt0094678
987,3,tt0094712
988,0.5,tt0094713
989,14.5,tt0094715
990,4,tt0094716
991,316,tt0094721
992,5,tt0094731
993,338.5,tt0094737
994,7,tt0094739
995,15.5,tt0094744
996,7,tt0094746
997,3,tt0094754
998,8.5,tt0094761
999,4,tt0094764
1000,152.5,tt0947798
1001,6,tt0947802
1002,31.5,tt0947810
1003,30.5,tt0094791
1004,2.5,tt0094792
1005,9.5,tt0094799
1006,128.5,tt0094812
1007,4.5,tt0094824
1008,7.5,tt0094828
1009,97.5,tt0948470
1010,32.5,tt0094862
1011,13.5,tt0094868
1012,2.5,tt0094882
1013,32.5,tt0094889
1014,21,tt0094890
1015,10,tt0094894
1016,83,tt0094898
1017,2,tt0094910
1018,5,tt0094921
1019,7.5,tt0094924
1020,3.5,tt0094933
1021,2,tt0094939
1022,100,tt0094947
1023,3,tt0094961
1024,18,tt0094963
1025,29.5,tt0094964
1026,15,tt0949731
1027,3,tt0094980
1028,560,tt0095016
1029,66,tt0095031
1030,3,tt0095050
1031,37.5,tt0095082
1032,6.5,tt0095107
1033,1.5,tt0095145
1034,278.5,tt0095159
1035,3,tt0095169
1036,9.5,tt0095174
1037,2,tt0095179
1038,2,tt0095186
1039,28.5,tt0095188
1040,4,tt0095238
1041,28,tt0095243
1042,38,tt0095250
1043,14.5,tt0095253
1044,4.5,tt0952640
1045,2.5,tt0952682
1046,36.5,tt0095270
1047,2,tt0095271
1048,29.5,tt0095294
1049,2,tt0095304
1050,5,tt0095312
1051,66.5,tt0095327
1052,3,tt0095330
1053,3.5,tt0953318
1054,11.5,tt0095348
1055,5,tt0095382
1056,7.5,tt0095403
1057,6,tt0095409
1058,6,tt0095444
1059,4.5,tt0095467
1060,7.5,tt0095468
1061,3.5,tt0095484
1062,15,tt0095488
1063,30,tt0095489
1064,29.5,tt0095497
1065,7,tt0095519
1066,5,tt0095525
1067,19,tt0955308
1068,3,tt0095532
1069,5,tt0095564
1070,3.5,tt0095583
1071,36,tt0095593
1072,1,tt0095599
1073,2.5,tt0095613
1074,80,tt0095631
1075,7,tt0095638
1076,39.5,tt0095647
1077,5,tt0095652
1078,3,tt0095654
1079,3,tt0095655
1080,35.5,tt0095675
1081,15.5,tt0095687
1082,27,tt0095690
1083,143,tt0095705
1084,7.5,tt0095715
1085,3,tt0095730
1086,5,tt0095736
1087,17,tt0095742
1088,141.5,tt0095765
1089,34,tt0095776
1090,20.5,tt0095800
1091,15.5,tt0095801
1092,4.5,tt0095835
1093,7.5,tt0095863
1094,3,tt0095875
1095,12.5,tt0095882
1096,7.5,tt0095889
1097,10.5,tt0095895
1098,20,tt0095897
1099,12,tt0095925
1100,10,tt0095927
1101,18.5,tt0959337
1102,365.5,tt0095953
1103,23,tt0095956
1104,8,tt0095963
1105,1,tt0095977
1106,5,tt0095993
1107,43,tt0960144
1108,13,tt0096018
1109,7,tt0096028
1110,6.5,tt0096054
1111,76,tt0096061
1112,7,tt0096071
1113,14,tt0096073
1114,37,tt0960731
1115,0.5,tt0960890
1116,10,tt0096094
1117,14.5,tt0096101
1118,4,tt0096126
1119,2.5,tt0096142
1120,23.5,tt0096163
1121,6,tt0096171
1122,6,tt0096219
1123,2,tt0096223
1124,39.5,tt0096244
1125,10.5,tt0096251
1126,33.5,tt0096256
1127,44,tt0096257
1128,8.5,tt0962736
1129,3,tt0962762
1130,146.5,tt0096283
1131,3,tt0096316
1132,6,tt0963178
1133,34.5,tt0096320
1134,5,tt0963207
1135,1.5,tt0096321
1136,4,tt0096324
1137,13,tt0096328
1138,35.5,tt0096332
1139,5,tt0096336
1140,2.5,tt0963743
1141,4,tt0096378
1142,3.5,tt0963794
1143,4,tt0963807
1144,4,tt0096386
1145,34.5,tt0963966
1146,2.5,tt0096409
1147,4.5,tt0964185
1148,346.5,tt0096438
1149,133.5,tt0096446
1150,86.5,tt0964517
1151,4,tt0964539
1152,4,tt0096454
1153,2.5,tt0964587
1154,70.5,tt0096463
1155,5.5,tt0096486
1156,77.5,tt0096487
1157,7.5,tt0096639
1158,54,tt0096734
1159,215.5,tt0096754
1160,49,tt0096764
1161,40.5,tt0096787
1162,17,tt0096794
1163,305,tt0096874
1164,4.5,tt0096880
1165,648,tt0096895
1166,2.5,tt0096913
1167,166.5,tt0096928
1168,9,tt0096933
1169,2,tt0096943
1170,6.5,tt0096945
1171,46,tt0096969
1172,67.5,tt0970179
1173,11.5,tt0097027
1174,8.5,tt0970411
1175,19.5,tt0970416
1176,5,tt0097044
1177,27,tt0097050
1178,1.5,tt0097081
1179,11,tt0970866
1180,7,tt0097100
1181,34.5,tt0097108
1182,3,tt0097116
1183,4,tt0971209
1184,70.5,tt0097123
1185,1,tt0097138
1186,4,tt0097142
1187,38,tt0097162
1188,340.5,tt0097165
1189,44,tt0097202
1190,4,tt0097211
1191,109,tt0097216
1192,12.5,tt0097223
1193,13.5,tt0097235
1194,2,tt0097236
1195,86,tt0097239
1196,41.5,tt0097240
1197,18,tt0097257
1198,1.5,tt0972785
1199,15,tt0097289
1200,21.5,tt0097322
1201,4.5,tt0097328
1202,3,tt0097334
1203,3.5,tt0097336
1204,197,tt0097351
1205,20,tt0097366
1206,20.5,tt0097368
1207,6,tt0097388
1208,4,tt0097390
1209,15,tt0974015
1210,141,tt0097428
1211,2,tt0097438
1212,171,tt0097441
1213,22.5,tt0097443
1214,5,tt0097457
1215,6.5,tt0097458
1216,35.5,tt0974661
1217,3,tt0097474
1218,9,tt0097481
1219,153,tt0097493
1220,5.5,tt0974959
1221,76,tt0097499
1222,2.5,tt0097500
1223,187.5,tt0097523
1224,14.5,tt0097531
1225,3.5,tt0097550
1226,17.5,tt0975645
1227,566.5,tt0097576
1228,4.5,tt0097579
1229,22.5,tt0976051
1230,3.5,tt0976060
1231,2,tt0097613
1232,0.5,tt0976238
1233,1.5,tt0976246
1234,4,tt0097626
1235,4.5,tt0097635
1236,2,tt0097637
1237,24.5,tt0097647
1238,2.5,tt0097659
1239,3,tt0097702
1240,4,tt0097714
1241,21,tt0097722
1242,4,tt0097728
1243,7,tt0097731
1244,149.5,tt0097733
1245,66.5,tt0097742
1246,229.5,tt0097757
1247,4.5,tt0097758
1248,43,tt0097778
1249,5,tt0097790
1250,69,tt0097814
1251,71.5,tt0097815
